Source_Name,Xray_Index,FX,FG,PL_Index,PLEC_SigCurv,Variability_Index,finalV,Class
4FGL J1728.4+0427,1.672,2.322E-12,7.6271515E-12,2.5869317,4.2049823,56.95297,17.99,bzr
4FGL J1730.6+0024,1.372,1.27E-12,1.180308E-11,2.2074978,4.513134,329.93808,20.5,bzr
4FGL J1730.8+3715,2.78,6.47E-13,4.689752E-12,2.0604346,2.2020578,6.076998,18.18,bzr
4FGL J1733.0-1305,1.522,2.863E-12,6.604779E-11,2.3524394,8.155536,902.6218,19.5,bzr
4FGL J1734.3+3858,1.32,4.252E-12,2.0208831E-11,2.4118896,3.2608945,438.1959,20.0,bzr
4FGL J1736.0+2033,2.342,6.795E-12,5.8992164E-12,1.8823478,2.7795272,37.28615,19.436,bzr
4FGL J1740.5+5211,1.257,2.465E-12,2.3083764E-11,2.4600558,2.1613235,740.9472,19.5,bzr
4FGL J1744.0+1935,2.065,1.508E-11,9.4371524E-12,1.931682,2.5195954,10.721691,17.8,bzr
4FGL J1744.2-0353,1.379,2.664E-12,5.332476E-12,2.5145679,0.18233335,13.6935425,19.5,bzr
4FGL J1745.4-0753,1.187,1.485E-12,1.6755338E-11,2.061992,0.16964626,7.5568953,19.392,bzr
4FGL J1748.6+7005,1.868,3.029E-12,4.6978522E-11,2.037151,4.781412,475.04904,18.01,bzr
4FGL J1749.0+4321,1.666,1.026E-12,1.1681195E-11,2.0647864,2.2595928,31.064896,19.21,bzr
4FGL J1751.5+0938,1.628,8.284E-12,4.527303E-11,2.2557795,5.945081,884.58154,17.78,bzr
4FGL J1756.3+5522,2.142,1.126E-11,5.0658037E-12,1.8406285,1.8492734,16.348568,17.87,bzr
4FGL J1757.0+7032,2.116,7.797E-12,1.7839057E-12,1.7904531,1.0606524,14.04065,19.27,bzr
4FGL J1800.6+7828,1.479,3.94E-12,5.5820522E-11,2.2096267,5.0231895,257.04666,17.4,bzr
4FGL J1801.5+4404,1.609,4.62E-12,1.9584334E-11,2.3670387,2.5698767,1212.1047,17.8,bzr
4FGL J1806.8+6949,1.693,3.682E-12,3.555753E-11,2.2855031,4.2726965,92.95958,15.22,bzr
4FGL J1809.7+2910,2.814,4.637E-13,9.382022E-12,1.9337776,3.4789305,6.699237,18.365,bzr
4FGL J1813.5+3144,2.794,8.8E-13,1.0153632E-11,2.144142,1.9290978,26.638464,18.4,bzr
4FGL J1824.1+5651,1.52,3.574E-12,2.2282396E-11,2.3885798,3.3463352,163.84195,19.4,bzr
4FGL J1838.8+4802,2.351,9.762E-12,2.5362518E-11,1.8524191,2.9597085,191.09026,18.6,bzr
4FGL J1841.3+2909,2.629,2.344E-12,4.638066E-12,1.7137939,2.4433415,8.754174,18.22,bzr
4FGL J1841.8+3218,2.524,1.954E-12,6.898587E-12,1.9324082,3.3796103,34.75558,18.911,bzr
4FGL J1842.3+6810,1.805,1.42E-12,4.228143E-12,2.700454,0.7022935,7.467066,18.9,bzr
4FGL J1848.4+3217,1.336,2.856E-12,2.2336669E-11,2.3915246,6.176546,463.7295,18.857,bzr
4FGL J1848.9+4247,2.212,9.262E-12,2.9913723E-12,2.0111113,0.4039586,13.812965,19.9,bzr
4FGL J1849.2+6705,1.655,2.416E-12,4.9897877E-11,2.2862663,8.328598,1598.5779,21.0,bzr
4FGL J1902.9-6748,1.087,1.977E-12,1.21383155E-11,2.42332,3.7691712,196.3996,19.491,bzr
4FGL J1903.2+5540,2.248,1.132E-12,3.963752E-11,1.9475454,6.821775,65.421265,18.412,bzr
4FGL J1911.2-2006,1.537,2.661E-12,4.5552243E-11,2.4452753,9.460958,609.60547,18.549,bzr
4FGL J1917.7-1921,2.135,1.833E-12,3.9375496E-11,1.9483535,1.5826024,52.416992,16.3,bzr
4FGL J1918.2-4111,2.172,2.892E-13,2.7554797E-11,1.9392976,6.6041284,30.024502,18.432,bzr
4FGL J1923.5-2104,1.429,2.115E-12,2.498912E-11,2.302665,6.512263,1638.863,18.5,bzr
4FGL J1924.8-2914,1.78,1.192E-11,2.4860003E-11,2.3892934,1.4903945,203.59099,19.21,bzr
4FGL J1927.5+6117,1.916,1.136E-12,8.6217864E-12,2.125786,2.5923274,38.14119,18.5,bzr
