Source_Name,XRT oldname,XRT updated name,UV name,Xray_Index,FX,FG,PL,SC,VI,V,FILTER,AB_MAG,AB_MAG_real,GLON,GLAT
4FGL J1155.2-1111,SwFS1 J115514.7-111125,SwXF4 J115514.7-111125,SwUVF4 J115514.8-111123,1.80114,5.117996682024601E-13,1.7859461E-12,1.923659,1.42175,9.120256,20.144,w1,20.84,20.84000015258789,281.51202,49.33286
4FGL J1220.1-2458,SwFS1 J122014.5-245949,SwXF4 J122014.5-245949,SwUVF4 J122014.5-245949,1.91842,2.8674773755813132E-12,2.6092659E-12,1.8821644,0.7859219,8.773532,19.862,uu,20.28,20.280000686645508,294.01416,37.35705
4FGL J1224.6+7011,SwFS1 J122457.2+700729,SwXF4 J122457.2+700729,SwUVF4 J122457.2+700729,2.07048,3.3790918743772336E-13,3.884305E-12,3.0066102,1.0032617,9.71817,16.062,uu,16.48,16.48,126.23276,46.759975
4FGL J1239.7-3455,SwFS1 J123934.1-345429,SwXF4 J123934.1-345429,SwUVF4 J123934.1-345429,1.72205,8.681604556119929E-13,2.4648656E-12,2.670217,0.0,10.3723755,21.522,uu,21.94,>21.94,300.21637,27.883093
4FGL J1243.7+1727,SwFS1 J124351.6+172643,SwXF4 J124351.6+172643,SwUVF4 J124351.8+172645,2.86232,1.1455129414455338E-13,1.1943681E-12,1.8691648,1.0110282,1.5012115,19.722,uu,20.14,20.139999389648438,292.09222,80.16694
4FGL J1250.9-4943,SwFS1 J125058.5-494443,SwXF4 J125058.5-494444,SwUVF4 J125058.5-494444,2.34602,2.956650565082946E-13,5.9792176E-12,2.109055,2.06577,20.976889,21.98,w2,22.9,22.9,302.84363,13.151358
4FGL J1256.8+5329,SwFS1 J125630.4+533203,SwXF4 J125630.4+533203,SwUVF4 J125630.5+533205,1.66341,2.8281341110474693E-13,4.5072743E-12,2.6380432,0.88080144,5.014545,19.192,uu,19.61,19.610000610351562,121.12844,63.62399
4FGL J1304.4+1203,SwFS1 J130442.8+120440,SwXF4 J130442.8+120440,SwUVF4 J130442.8+120440,1.42579,1.237656137985592E-13,1.9747873E-12,2.265371,5.883602,3.5570443,21.432,uu,21.85,>21.85,315.02512,74.62675
4FGL J1306.8-4035,SwFS1 J130655.8-403518,SwXF4 J130655.8-403519,SwUVF4 J130655.8-403519,0.976791,3.4371619861753427E-13,8.469926E-12,2.4546723,3.38717,7.272052,21.422,uu,21.84,>21.84,306.08945,22.177368
4FGL J1312.6-6231,SwFS1 J131230.7-623429,SwXF4 J131230.7-623430,SwUVF4 J131230.7-623430,1.14353,1.1256412505761078E-12,9.410844E-12,2.4335387,3.5352492,2.1625671,17.572,uu,17.99,17.99,305.3724,0.24322052
4FGL J1320.3-6410,SwFS1 J132016.9-641353,SwXF4 J132016.9-641353,SwUVF4 J132015.9-641349,8.19014,9.909688428410833E-10,5.7775546E-12,2.6005056,3.7408442,14.059712,17.932,uu,18.35,18.350000381469727,306.0755,-1.4774823
4FGL J1320.3-6410,SwFS1 J132016.9-641353,SwXF4 J132016.9-641353,SwUVF4 J132016.9-641353,8.19014,9.909688428410833E-10,5.7775546E-12,2.6005056,3.7408442,14.059712,18.662,uu,19.08,19.08,306.0755,-1.4774823
4FGL J1326.0+3507,SwFS1 J132544.4+350450,SwXF4 J132544.4+350450,SwUVF4 J132544.4+350450,1.31052,3.0521087222420105E-13,1.0860151E-12,2.2373443,1.3279991,27.192875,19.782,uu,20.2,20.2,82.31492,79.11867
4FGL J1326.0+3507,SwFS1 J132544.4+350450,SwXF4 J132544.4+350450,SwUVF4 J132544.5+350447,1.31052,3.0521087222420105E-13,1.0860151E-12,2.2373443,1.3279991,27.192875,19.545,m2,20.38,20.3799991607666,82.31492,79.11867
4FGL J1326.0+3507,SwFS1 J132622.3+350627,SwXF4 J132622.3+350628,SwUVF4 J132622.2+350625,1.98232,1.3822926539061348E-13,1.0860151E-12,2.2373443,1.3279991,27.192875,19.512,uu,19.93,19.93000030517578,82.31492,79.11867
4FGL J1326.0+3507,SwFS1 J132622.3+350627,SwXF4 J132622.3+350628,SwUVF4 J132622.3+350628,1.98232,1.3822926539061348E-13,1.0860151E-12,2.2373443,1.3279991,27.192875,19.612,uu,20.03,20.03,82.31492,79.11867
4FGL J1357.3-6123,SwFS1 J135657.9-612312,SwXF4 J135657.9-612313,SwUVF4 J135657.2-612315,3.63353,7.286181745132289E-12,1.7111685E-11,2.6199186,5.371835,7.876722,18.86,w2,19.78,19.780000686645508,310.73535,0.47756577
4FGL J1357.3-6123,SwFS1 J135657.9-612312,SwXF4 J135657.9-612313,SwUVF4 J135657.9-612313,3.63353,7.286181745132289E-12,1.7111685E-11,2.6199186,5.371835,7.876722,20.745,m2,21.58,>21.58,310.73535,0.47756577
4FGL J1401.7-3217,SwFS1 J140200.0-321844,SwXF4 J140200.0-321844,SwUVF4 J140159.5-321845,2.26435,3.070435650730062E-13,2.4590852E-12,2.1365044,1.3146766,27.08389,19.775,m2,20.61,20.610000610351562,319.79147,28.270546
4FGL J1401.7-3217,SwFS1 J140200.0-321844,SwXF4 J140200.0-321844,SwUVF4 J140200.0-321844,2.26435,3.070435650730062E-13,2.4590852E-12,2.1365044,1.3146766,27.08389,20.522,uu,20.94,20.94,319.79147,28.270546
4FGL J1410.7+7405,SwFS1 J141044.9+740511,SwXF4 J141044.9+740511,SwUVF4 J141046.0+740511,2.30138,1.4832009671818773E-13,3.8049824E-12,1.860342,4.145211,9.173158,18.742,uu,19.16,19.15999984741211,115.75397,41.9148
4FGL J1415.9-1504,SwFS1 J141546.1-150228,SwXF4 J141546.1-150229,SwUVF4 J141546.1-150229,2.48453,5.91834121113182E-13,2.1043404E-12,2.1171026,1.4619523,11.094222,19.504,w1,20.2,20.2,331.39285,43.081535
4FGL J1415.9-1504,SwFS1 J141546.1-150228,SwXF4 J141546.1-150229,SwUVF4 J141546.2-150229,2.48453,5.91834121113182E-13,2.1043404E-12,2.1171026,1.4619523,11.094222,19.585,m2,20.42,20.420000076293945,331.39285,43.081535
4FGL J1429.8-0739,SwFS1 J142949.7-073302,SwXF4 J142949.7-073302,SwUVF4 J142949.5-073305,1.86863,7.186211583804586E-13,1.1146947E-12,2.3110187,3.0403116,3.3205013,17.582,uu,18.0,18,340.85236,47.846813
4FGL J1441.4-1934,SwFS1 J144127.7-193548,SwXF4 J144127.7-193549,SwUVF4 J144127.7-193549,2.26459,8.609937521846017E-13,2.0349473E-12,1.7985146,3.2709358,3.7590237,19.672,uu,20.09,20.09,335.55966,36.23165
4FGL J1513.0-3118,SwFS1 J151244.8-311648,SwXF4 J151244.8-311647,SwUVF4 J151244.8-311647,3.00557,1.3228177080099325E-12,3.161765E-12,2.3726013,2.1142917,5.5141826,15.002,uu,15.42,15.42,335.3334,22.515461
4FGL J1514.8+4448,SwFS1 J151450.10+444957,SwXF4 J151451.0+444957,SwUVF4 J151451.0+444957,1.41663,1.4608310795054222E-13,7.422218E-12,2.3630903,3.426511,56.339252,19.222,vv,19.24,>19.24,74.22781,56.416077
4FGL J1514.8+4448,SwFS1 J151450.10+444957,SwXF4 J151451.0+444957,SwUVF4 J151451.2+444955,1.41663,1.4608310795054222E-13,7.422218E-12,2.3630903,3.426511,56.339252,20.452,uu,20.87,20.8700008392334,74.22781,56.416077
4FGL J1528.4+2004,SwFS1 J152835.10+200423,SwXF4 J152836.0+200424,SwUVF4 J152835.8+200421,1.94408,8.386871712481649E-13,1.2468397E-12,2.016115,0.2779958,7.8840747,20.75,w2,21.67,21.670000076293945,30.415138,53.4925
4FGL J1528.4+2004,SwFS1 J152835.10+200423,SwXF4 J152836.0+200424,SwUVF4 J152836.0+200424,1.94408,8.386871712481649E-13,1.2468397E-12,2.016115,0.2779958,7.8840747,20.802,uu,21.22,21.22,30.415138,53.4925
4FGL J1545.0-6642,SwFS1 J154459.0-664147,SwXF4 J154459.0-664148,SwUVF4 J154458.9-664147,2.10735,9.7185170294017E-12,4.219953E-12,1.7383816,0.17763342,2.7812486,19.155,m2,19.99,19.989999771118164,318.91748,-9.381414
4FGL J1545.0-6642,SwFS1 J154459.0-664147,SwXF4 J154459.0-664148,SwUVF4 J154459.0-664148,2.10735,9.7185170294017E-12,4.219953E-12,1.7383816,0.17763342,2.7812486,18.372,uu,18.79,18.79,318.91748,-9.381414
4FGL J1557.2+3822,SwFS1 J155711.9+382032,SwXF4 J155711.9+382032,SwUVF4 J155711.9+382032,2.27171,2.8840315031266116E-13,8.820994E-13,1.9545276,1.5090661,8.285812,21.452,uu,21.87,>21.87,61.258816,49.79609
4FGL J1619.4-5106,SwFS1 J161935.6-510613,SwXF4 J161935.6-510613,SwUVF4 J161935.6-510613,2.45007,8.933054837332963E-13,2.530171E-11,2.3307898,2.117839,1.7070713,20.394,w1,21.09,21.09,332.5897,-0.61530745
4FGL J1623.7-2315,SwFS1 J162334.1-231749,SwXF4 J162334.1-231750,SwUVF4 J162334.1-231750,1.1346,1.8849507176986645E-12,4.726046E-12,2.368065,0.7898477,7.7190037,18.572,uu,18.99,18.99,353.5376,18.13641
4FGL J1627.7+3219,SwFS1 J162742.10+322102,SwXF4 J162743.0+322102,SwUVF4 J162743.0+322104,2.38742,3.3907830225192685E-13,3.3613214E-12,2.152022,6.601011,6.9831862,17.422,uu,17.84,17.84000015258789,52.983753,43.236767
4FGL J1631.8+4144,SwFS1 J163146.7+414634,SwXF4 J163146.7+414634,SwUVF4 J163146.7+414633,2.44874,4.2766134747972753E-13,1.3552086E-12,1.7807935,0.7883537,11.285393,19.312,uu,19.73,19.729999542236328,65.97261,43.12388
4FGL J1637.5+3005,SwFS1 J163728.2+300957,SwXF4 J163728.2+300958,SwUVF4 J163728.1+300953,1.91968,1.1295357994976863E-13,2.1102508E-12,2.7058086,0.5406128,7.800891,20.445,m2,21.28,21.280000686645508,50.50551,40.785038
4FGL J1637.5+3005,SwFS1 J163728.2+300957,SwXF4 J163728.2+300958,SwUVF4 J163728.2+300958,1.91968,1.1295357994976863E-13,2.1102508E-12,2.7058086,0.5406128,7.800891,19.802,uu,20.22,>20.22,50.50551,40.785038
4FGL J1637.5+3005,SwFS1 J163738.4+300512,SwXF4 J163738.4+300513,SwUVF4 J163738.4+300513,1.99608,2.0825718799130114E-13,2.1102508E-12,2.7058086,0.5406128,7.800891,19.802,uu,20.22,>20.22,50.50551,40.785038
4FGL J1637.5+3005,SwFS1 J163739.3+301015,SwXF4 J163739.3+301015,SwUVF4 J163739.2+301013,0.70854,1.2413664394960395E-12,2.1102508E-12,2.7058086,0.5406128,7.800891,20.895,m2,21.73,21.729999542236328,50.50551,40.785038
4FGL J1637.5+3005,SwFS1 J163739.3+301015,SwXF4 J163739.3+301015,SwUVF4 J163739.3+301015,0.70854,1.2413664394960395E-12,2.1102508E-12,2.7058086,0.5406128,7.800891,19.692,uu,20.11,20.11,50.50551,40.785038
4FGL J1639.8-4642,SwFS1 J163946.2-464058,SwXF4 J163946.2-464058,SwUVF4 J163946.2-464058,8.7303,3.2780079310552765E-10,5.8057528E-11,2.5076334,3.8297079,3.1355786,17.462,uu,17.88,17.88,338.07608,-0.024206404
4FGL J1644.8+1850,SwFS1 J164457.3+185149,SwXF4 J164457.3+185149,SwUVF4 J164457.2+185150,2.26477,3.1267992563761185E-13,2.4370924E-12,1.9937022,2.3664415,9.122613,19.342,uu,19.76,19.760000228881836,37.253548,36.10579
4FGL J1645.0+1654,SwFS1 J164500.0+165510,SwXF4 J164500.0+165510,SwUVF4 J164459.8+165513,2.34261,7.251034976171987E-13,2.1970516E-12,2.2133803,0.7565396,8.371717,19.572,uu,19.99,19.989999771118164,35.057186,35.357185
4FGL J1645.8-4533,SwFS1 J164547.7-453647,SwXF4 J164547.7-453647,SwUVF4 J164547.7-453647,-1.53348,5.468018811604215E-10,4.3199055E-11,2.5636814,5.0409017,1.301289,22.642,uu,23.06,>23.06,339.6346,-0.045276653
4FGL J1649.2-4513,SwFS1 J164849.4-451147,SwXF4 J164849.4-451148,SwUVF4 J164849.4-451148,1.02778,4.9750792135144027E-14,3.0672357E-11,2.6449673,4.708923,1.444781,21.122,vv,21.14,>21.14,340.27917,-0.29197544
4FGL J1649.2-4513,SwFS1 J164855.7-450959,SwXF4 J164855.7-450959,SwUVF4 J164855.7-450959,1.26836,1.0609624171364943E-13,3.0672357E-11,2.6449673,4.708923,1.444781,20.352,uu,20.77,20.77,340.27917,-0.29197544
4FGL J1649.2-4513,SwFS1 J164855.7-450959,SwXF4 J164855.7-450959,SwUVF4 J164856.3-450958,1.26836,1.0609624171364943E-13,3.0672357E-11,2.6449673,4.708923,1.444781,18.322,uu,18.74,18.739999771118164,340.27917,-0.29197544
4FGL J1649.2-4513,SwFS1 J164857.2-451217,SwXF4 J164857.2-451217,SwUVF4 J164857.2-451217,10.0,1.1569111321315511E-9,3.0672357E-11,2.6449673,4.708923,1.444781,22.392,uu,22.81,>22.81,340.27917,-0.29197544
4FGL J1649.2-4513,SwFS1 J164858.1-451727,SwXF4 J164858.1-451728,SwUVF4 J164858.1-451728,10.0,1.6007739196012066E-9,3.0672357E-11,2.6449673,4.708923,1.444781,20.905,m2,21.74,>21.74,340.27917,-0.29197544
4FGL J1648.7+4834,SwFS1 J164900.4+483417,SwXF4 J164900.4+483417,SwUVF4 J164900.4+483412,2.27876,4.694615193825908E-13,1.2804693E-12,2.1406202,1.002091,8.529193,19.602,uu,20.02,20.020000457763672,74.97876,39.960766
4FGL J1650.9-4420,SwFS1 J165124.2-442141,SwXF4 J165124.2-442142,SwUVF4 J165124.2-442142,10.0,4.032273670374512E-8,2.5566134E-11,2.5909271,4.1767273,4.964977,20.225,m2,21.06,21.06,341.1548,0.038772736
4FGL J1651.7-7241,SwFS1 J165151.5-724309,SwXF4 J165151.5-724310,SwUVF4 J165151.5-724310,1.17095,1.0534162172541903E-12,1.3384074E-12,2.0433109,0.39695024,2.0321743,20.642,uu,21.06,21.06,318.62735,-17.656084
4FGL J1700.2-4237,SwFS1 J165955.9-423022,SwXF4 J165955.9-423023,SwUVF4 J165955.9-423023,1.57907,6.248848563929624E-13,2.5449936E-11,2.7380888,4.2635245,5.150907,19.912,uu,20.33,>20.33,343.5388,-0.1971766
4FGL J1701.3-4924,SwFS1 J170136.3-492402,SwXF4 J170136.3-492402,SwUVF4 J170136.3-492402,1.54956,6.66960324824356E-13,6.244573E-12,2.478193,2.5111635,5.5499477,20.482,uu,20.9,>20.90,338.2998,-4.509959
4FGL J1706.5-4023,SwFS1 J170633.3-402543,SwXF4 J170633.3-402544,SwUVF4 J170633.3-402544,9.02544,3.472242112130988E-9,2.8703696E-11,2.554276,2.8518305,13.112033,18.484,w1,19.18,19.18,346.039,0.23102646
4FGL J1719.1-5348,SwFS1 J171856.6-535041,SwXF4 J171856.6-535042,SwUVF4 J171856.6-535042,1.75864,6.04226822049881E-12,3.670463E-12,2.1620514,0.124370255,6.114913,19.462,vv,19.48,>19.48,336.33395,-9.321285
4FGL J1720.6-5144,SwFS1 J172032.7-514413,SwXF4 J172032.7-514413,SwUVF4 J172032.7-514413,1.86711,7.266077069393996E-12,2.8737162E-12,2.16391,1.4703794,7.024316,19.702,uu,20.12,20.12,338.19254,-8.362254
